recordID,survivorShip,gender,productType,issueDate,matDate,birthDate,currentDate,baseFee,riderFee,rollUpRate,gbAmt,gmwbBalance,wbWithdrawalRate,withdrawal,FundValue1,FundValue2,FundValue3,FundValue4,FundValue5,FundValue6,FundValue7,FundValue8,FundValue9,FundValue10,FundNum1,FundNum2,FundNum3,FundNum4,FundNum5,FundNum6,FundNum7,FundNum8,FundNum9,FundNum10,FundFee1,FundFee2,FundFee3,FundFee4,FundFee5,FundFee6,FundFee7,FundFee8,FundFee9,FundFee10
160001,1,F,DBMB,1/09/2009,1/09/2031,1/06/1958,1/06/2014,0.02,0.0075,0,98621.69446,0,0,0,16304.54408,15480.63331,9404.054981,0,9915.298871,16025.89098,12438.86123,11453.52306,0,11525.5577,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046
160002,1,M,DBMB,1/04/2008,1/04/2027,1/07/1951,1/06/2014,0.02,0.0075,0,480173.0872,0,0,0,0,0,239852.3028,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046
160003,1,F,DBMB,1/04/2007,1/04/2033,1/09/1968,1/06/2014,0.02,0.0075,0,492941.9416,0,0,0,0,0,0,0,0,202495.3587,149707.2879,0,0,0,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046
160004,1,M,DBMB,1/07/2005,1/07/2020,1/07/1970,1/06/2014,0.02,0.0075,0,379384.3191,0,0,0,0,311560.6224,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046
160005,1,F,DBMB,1/08/2008,1/08/2035,1/11/1976,1/06/2014,0.02,0.0075,0,174374.021,0,0,0,0,0,26947.97091,27383.31897,0,45587.57954,0,0,0,36384.38435,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046
160006,1,M,DBMB,1/03/2000,1/03/2017,1/08/1970,1/06/2014,0.02,0.0075,0,110268.9586,0,0,0,0,0,0,0,20939.3182,0,0,12302.10743,9883.768627,13965.93819,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046
160007,1,M,DBMB,1/04/2002,1/04/2021,1/01/1979,1/06/2014,0.02,0.0075,0,534414.1539,0,0,0,0,0,80098.4645,0,0,132410.2044,0,0,93698.62454,0,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046
160008,1,M,DBMB,1/04/2006,1/04/2032,1/06/1959,1/06/2014,0.02,0.0075,0,267599.5686,0,0,0,0,0,0,0,0,0,0,93370.75185,0,92118.71904,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046
160009,1,F,DBMB,1/09/2010,1/09/2037,1/12/1975,1/06/2014,0.02,0.0075,0,236569.5877,0,0,0,31759.28782,29803.77315,20396.63813,16083.57332,20323.1147,31027.68922,25538.68912,22791.83773,22957.51931,23206.09338,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046
160010,1,M,DBMB,1/11/2000,1/11/2028,1/02/1951,1/06/2014,0.02,0.0075,0,172472.7454,0,0,0,12182.92287,15759.93827,0,6719.671918,14457.09665,13703.61793,9238.215815,9482.178955,8960.268434,11203.01554,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046
160011,1,F,DBMB,1/02/2000,1/02/2028,1/11/1957,1/06/2014,0.02,0.0075,0,431877.8194,0,0,0,83365.09261,0,0,0,109770.6991,0,0,0,0,73786.96773,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046
160012,1,F,DBMB,1/04/2000,1/04/2023,1/07/1961,1/06/2014,0.02,0.0075,0,344895.7797,0,0,0,31505.03049,0,16622.27407,19749.19843,43487.76944,0,23184.18663,26197.3476,0,0,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046
