recordID,survivorShip,gender,productType,issueDate,matDate,birthDate,currentDate,baseFee,riderFee,rollUpRate,gbAmt,gmwbBalance,wbWithdrawalRate,withdrawal,FundValue1,FundValue2,FundValue3,FundValue4,FundValue5,FundValue6,FundValue7,FundValue8,FundValue9,FundValue10,FundNum1,FundNum2,FundNum3,FundNum4,FundNum5,FundNum6,FundNum7,FundNum8,FundNum9,FundNum10,FundFee1,FundFee2,FundFee3,FundFee4,FundFee5,FundFee6,FundFee7,FundFee8,FundFee9,FundFee10
1,1,F,ABRP,1/09/2005,1/09/2033,1/02/1967,1/06/2014,0.02,0.005,0,87657.3686,0,0,0,0,0,0,45008.86223,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046
2,1,M,ABRP,1/08/2012,1/08/2032,1/09/1956,1/06/2014,0.02,0.005,0,161534.0958,0,0,0,25681.17617,0,23096.98328,16719.40393,19297.08633,25791.34658,24386.58001,0,23949.68627,21906.86318,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046
170001,1,F,ABRU,1/02/2011,1/02/2035,1/06/1965,1/06/2014,0.02,0.006,0.05,285447.6488,0,0,0,0,0,0,0,0,287269.5976,0,0,0,0,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046
170002,1,M,ABRU,1/09/2005,1/09/2028,1/10/1957,1/06/2014,0.02,0.006,0.05,193500.4383,0,0,0,0,0,0,0,0,0,46435.31761,46700.47044,0,0,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046
140001,1,M,ABSU,1/01/2001,1/01/2023,1/04/1958,1/06/2014,0.02,0.006,0,429585.5024,0,0,0,26982.96673,31937.70127,15307.11795,15136.48647,32790.97463,29269.44554,20568.7236,21177.80171,19463.30258,24614.49297,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046
140002,1,M,ABSU,1/07/2001,1/07/2017,1/04/1958,1/06/2014,0.02,0.006,0,416862.9251,0,0,0,38586.97371,42980.30286,23807.32423,0,0,40819.23318,30664.75275,28262.68291,28950.34576,33286.48502,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046
30001,1,F,DBAB,1/10/2004,1/10/2027,1/09/1962,1/06/2014,0.02,0.0075,0,136060.1272,0,0,0,0,19081.65578,12030.53836,9707.109842,0,20045.28332,15826.59249,14516.37383,0,0,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046
30002,1,F,DBAB,1/08/2003,1/08/2021,1/04/1969,1/06/2014,0.02,0.0075,0,259734.889,0,0,0,0,0,0,52613.00154,0,0,0,0,92981.91414,0,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046
110001,1,M,DBIB,1/08/2001,1/08/2020,1/02/1951,1/06/2014,0.02,0.0085,0,177820.0288,0,0,0,0,49293.33337,0,0,0,0,35598.01217,32219.50401,0,0,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046
110002,1,F,DBIB,1/07/2007,1/07/2031,1/04/1973,1/06/2014,0.02,0.0085,0,52843.61623,0,0,0,0,7507.767556,3978.165618,5203.230593,0,0,5602.037793,6537.212735,0,6375.633713,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046
160001,1,F,DBMB,1/09/2009,1/09/2031,1/06/1958,1/06/2014,0.02,0.0075,0,98621.69446,0,0,0,16304.54408,15480.63331,9404.054981,0,9915.298871,16025.89098,12438.86123,11453.52306,0,11525.5577,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046
160002,1,M,DBMB,1/04/2008,1/04/2027,1/07/1951,1/06/2014,0.02,0.0075,0,480173.0872,0,0,0,0,0,239852.3028,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046
70001,1,F,DBRP,1/05/2005,1/05/2024,1/09/1979,1/06/2014,0.02,0.0025,0,143299.5965,0,0,0,17305.77756,0,10249.15984,0,15163.15203,17039.85827,13435.71467,12769.14924,11952.47256,13720.63942,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046
70002,1,M,DBRP,1/10/2004,1/10/2033,1/10/1958,1/06/2014,0.02,0.0025,0,298927.7968,0,0,0,298131.1052,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046
120001,1,F,DBRU,1/10/2002,1/10/2030,1/08/1956,1/06/2014,0.02,0.0035,0.05,671172.1508,0,0,0,109748.7301,119578.4588,67897.90719,0,0,0,0,0,0,80982.52291,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046
120002,1,M,DBRU,1/01/2008,1/01/2035,1/08/1959,1/06/2014,0.02,0.0035,0.05,293217.5997,0,0,0,107021.1047,0,0,0,0,0,0,0,70273.45089,0,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046
130001,1,F,DBSU,1/05/2005,1/05/2030,1/11/1957,1/06/2014,0.02,0.0035,0,286770.3277,0,0,0,51650.2363,48791.90383,30589.29459,26522.0103,0,0,0,38110.36941,0,0,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046
130002,1,F,DBSU,1/09/2008,1/09/2024,1/01/1973,1/06/2014,0.02,0.0035,0,349538.3658,0,0,0,60561.74613,0,37165.39814,32430.08398,0,58595.35434,47715.16454,0,42188.50014,45681.0121,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046
100001,1,F,DBWB,1/02/2007,1/02/2033,1/01/1960,1/06/2014,0.02,0.009,0,262353.5976,170529.8385,0.05,91823.75917,29309.61491,0,15136.19918,18690.42024,26853.57413,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046
100002,1,F,DBWB,1/06/2002,1/06/2030,1/06/1956,1/06/2014,0.02,0.009,0,317228.2327,142752.7047,0.05,174475.528,8756.529497,8538.562085,5031.170373,3489.245386,7142.168675,8764.544943,6705.194585,5743.08042,5997.005274,6585.489361,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046
90001,1,F,IBRP,1/03/2007,1/03/2025,1/06/1952,1/06/2014,0.02,0.006,0,397075.0992,0,0,0,38974.21339,35342.84422,19959.79254,25129.43754,35835.40117,37702.39635,28102.64254,0,23980.32442,31369.4339,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046
90002,1,M,IBRP,1/12/2009,1/12/2033,1/09/1968,1/06/2014,0.02,0.006,0,176522.0651,0,0,0,47489.38959,0,0,0,0,47111.23776,37040.71744,34373.85847,0,34748.9817,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046
150001,1,M,IBRU,1/04/2002,1/04/2029,1/02/1950,1/06/2014,0.02,0.007,0.05,657622.714,0,0,0,0,32920.93162,20674.18613,15014.32238,30730.18884,34176.35068,26941.38863,23631.97836,24184.51859,26990.03238,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046
150002,1,M,IBRU,1/01/2005,1/01/2026,1/11/1966,1/06/2014,0.02,0.007,0.05,562899.6888,0,0,0,47880.15932,0,27223.01603,24089.34652,42309.50816,0,36430.35915,0,31885.40236,37381.13767,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046
180001,1,M,IBSU,1/09/2003,1/09/2021,1/05/1977,1/06/2014,0.02,0.007,0,225547.4038,0,0,0,34209.05373,0,0,0,26792.1538,33944.08316,27094.64119,22362.4163,0,25620.74427,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046
180002,1,F,IBSU,1/04/2001,1/04/2016,1/05/1952,1/06/2014,0.02,0.007,0,368699.5164,0,0,0,63023.01686,0,0,32385.80359,0,67355.99924,0,0,0,54810.31417,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046
20001,1,M,MBRP,1/10/2006,1/10/2027,1/12/1972,1/06/2014,0.02,0.005,0,328650.981,0,0,0,59405.75612,0,0,0,54686.12895,0,43858.05386,0,37803.17234,47976.13945,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046
20002,1,M,MBRP,1/10/2009,1/10/2038,1/10/1975,1/06/2014,0.02,0.005,0,322011.0391,0,0,0,0,0,0,0,0,0,354245.676,0,0,0,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046
10001,1,F,MBRU,1/06/2001,1/06/2025,1/03/1970,1/06/2014,0.02,0.006,0.05,429581.5461,0,0,0,21838.71224,23206.27918,13326.47516,0,23089.4377,22676.54246,17259.92637,16203.89806,16033.20362,0,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046
10002,1,M,MBRU,1/06/2006,1/06/2032,1/10/1973,1/06/2014,0.02,0.006,0.05,614224.7333,0,0,0,46649.01924,41036.82448,24487.29388,27073.91516,40606.37916,44596.97414,34063.7943,0,28948.53955,36346.23212,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046
80001,1,F,MBSU,1/12/2005,1/12/2029,1/02/1957,1/06/2014,0.02,0.006,0,415679.6368,0,0,0,0,42705.98339,25531.01332,25775.52003,41164.86466,0,34718.88577,35611.31921,30175.80734,36693.66275,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046
80002,1,M,MBSU,1/11/2001,1/11/2020,1/12/1971,1/06/2014,0.02,0.006,0,393785.3078,0,0,0,44817.70528,49806.54382,0,20445.03025,43113.8178,47331.93096,0,31524.6345,0,37550.49582,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046
40001,1,F,WBRP,1/05/2004,1/05/2025,1/07/1952,1/06/2014,0.02,0.0065,0,335538.4712,167769.2356,0.05,167769.2356,16446.33656,15480.53222,0,7778.903213,14168.19009,16186.33437,12871.54578,0,11480.08926,0,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046
